Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
FoodSHIELD,Laura H.,,,National Center for Food Protection and Defense,Gov,"web-based system for communication, coordination, education, and training among the nation's food and agriculture sectors.",,Current,NF (after 2004),C,https://www.foodshield.org/,,,,United States,,,,"web-based system for communication, coordination, education, and training among the nation's food and agriculture sectors.",https://www.foodshield.org/,NA,na,,no,yes,yes,,**,,
National Animal Health Laboratory Network,Faith,,,"USDA Animal and Plant Health Inspection Service (APHIS), United States Department of Agriculture (USDA), USDA National Institute of Food and Agriculture (NIFA)",Gov,,2006-current,Current,2006,C,http://www.aphis.usda.gov/wps/portal/banner/help?1dmy&urile=wcm%3apath%3a%2Faphis_content_library%2Fsa_our_focus%2Fsa_animal_health%2Fsa_lab_information_services%2Fsa_nahln%2Fct_national_animal_health_laboratory_network,United States,,,United States,,,,,http://www.aphis.usda.gov/wps/portal/banner/help?1dmy&urile=wcm%3apath%3a%2Faphis_content_library%2Fsa_our_focus%2Fsa_animal_health%2Fsa_lab_information_services%2Fsa_nahln%2Fct_national_animal_health_laboratory_network,NA,na,,no,yes,no,,"Avian Influenza, Bovine Spongiform Encephalopathy, Chronic Wasting Disease, Foot and Mouth Disease, Newcastle Disease, Pseudorabies (Aujeszky’s Disease), Scrapie, Swine Influenza, Vesicular Stomatitis",,
Foodborne Outbreak Online Database FOOD Tool,Olivia W.,,,Centers for Disease Control and Prevention (CDC),Gov,online tool,,Current,1998,2013,http://wwwn.cdc.gov/foodborneoutbreaks/Default.aspx,,,,United States,,,,online tool,http://wwwn.cdc.gov/foodborneoutbreaks/Default.aspx,NA,na,no,yes,no,no,,foodborne,Tool to allow the public to view information from Foodborne Disease Outbreak Surveillance System,
Bureau of HIV/AIDS Epidemiology New York State,Faith,,,New York State Department of Health,Gov,bureau,,Current,nf ,C,http://www.health.ny.gov/diseases/aids/general/about/surveillance.htm,,,New York,United States,,,,bureau,http://www.health.ny.gov/diseases/aids/general/about/surveillance.htm,NA,na,,yes,no,no,,HIV/AIDS,,
Iowa Electronic Health Markets (IEhM),Laura H.,,,University of Iowa,NP,,2007-2009,Terminated,2007,2009,http://news-releases.uiowa.edu/2009/may/050409swine_flu_market.html,,,Iowa,United States,,,,,http://news-releases.uiowa.edu/2009/may/050409swine_flu_market.html,NA,na,no,yes,no,no,,influenza (H1N1),,
Early Detection and Distribution Mapping System (EDDMapS),Laura H.,,,The University of Georgia - Center for Invasive Species and Ecosystem Health,NP,tracks invasive species,,Current,2005,C,http://www.eddmaps.org/,,,,United States,,Users,"user-reported sightings, reviewed by state verifiers",tracks invasive species,http://www.eddmaps.org/,NA,na,,no,yes,yes,N/A,N/A,"Recordng species presence, not diseases",
Nonindigenous Aquatic Species Alert System,Laura H.,,,United States Geological Survey (USGS),Gov,Not disease related - only species presence is recorded,,Current,1990,C,http://nas.er.usgs.gov/about/default.aspx,,,,United States,,,,Not disease related - only species presence is recorded,http://nas.er.usgs.gov/about/default.aspx,NA,na,,no,yes,no,,NA,"they intend to add plants to their surveillance, but haven't yet; species presence only recorded (not disease)",
Biodefend ,Olivia W.,,,"DataSphere, LLC, University of South Florida, Center for Biological Defense","FP, NP",Software,2003ish?,nf,nf ,nf,http://faculty.washington.edu/lober/www.isdsjournal.org/htdocs/articles/804.pdf,,,Florida,United States,,,,"technology, can't locate this system",http://datasphere.net/,NA,na,,yes,no,no,,nonspecific,"adaptable system that one can buy to use for biosurveillance, no specific diseases that it surveils",
HDOA Animal Disease Control Branch,Laura H.,,,Hawaii Department of Agriculture,Gov,NF,,nf ,nf ,nf ,http://hawaii.gov/hdoa/Info/pest_adv,,,Hawaii,United States,,,,NF,http://hdoa.hawaii.gov/ai/ldc/,NA,na,,no,yes,no,,nonspecific,,
National Aquaculture Program (NAP),Olivia W.,,,USDA APHIS,Gov,,,current,nf ,C,http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth/sa_monitoring_and_surveillance,,,,United States,,,,,http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth/sa_monitoring_and_surveillance,NA,na,,no,yes,yes,,nonspecific,,
Maine Health and Environmental Testing Laboratory (HETL),Laura H.,,,Food and Agriculture Organization of the United Nations (FAO),Gov,,,Current,2000,C,http://www.maine.gov/dhhs/mecdc/public-health-systems/health-and-environmental-testing/mission.htm,,,Maine,United States,,,,,http://www.maine.gov/dhhs/mecdc/public-health-systems/health-and-environmental-testing/mission.htm,NA,na,,yes,yes,no,,nonspecific,"environment testing (eg water, air)",
Carolina's Health Electronic Surveillance System (CHESS),Laura H.,,,South Carolina Department of Health and Environmental Control,Gov,tool to report to South Carolina Department of Health and Environmental Control,,Current,nf ,C,http://www.scdhec.gov/Health/FHPF/ReportDiseasesAdverseEvents/OnlineReportingToolCHESS/OnlineReportingToolCHESS/,,,South Carolina,United States,,,,tool to report to South Carolina Department of Health and Environmental Control,http://www.scdhec.gov/Health/FHPF/ReportDiseasesAdverseEvents/OnlineReportingToolCHESS/OnlineReportingToolCHESS/,NA,na,,yes,no,no,,nonspecific,http://www.scdhec.gov/Health/FHPF/ReportDiseasesAdverseEvents/ReportableConditionsInSC/,
EpiCom,Faith,KEEP,ZG-yes,Florida Department of Health,Gov,communication system,,Current,NF,C,http://www.floridahealth.gov/diseases-and-conditions/disease-reporting-and-management/disease-reporting-and-surveillance/surveillance-systems.html,,,Florida,United States,,Florida Department of Health,"moderated message board where users, including Dept. of Health staff and public health partners, can post messages related to suspected, probable or confirmed contagious diseases or outbreaks of public health significance.  Other users can then post follow-up messages to report any similar or related disease activity in their area.  Each message is reviewed by a subject matter expert before it is posted to EpiCom to prevent the accidental circulation of confidential or sensitive information. Messages with the content of these posted items can also be sent via email to users. ",,http://www.floridahealth.gov/diseases-and-conditions/disease-reporting-and-management/disease-reporting-and-surveillance/surveillance-systems.html,NA,na,,yes,no,no,,nonspecific (disease outbreaks),66.129.90.52/HomepageUploads/573EpiCom-FNRMS%20(3).docx,
Emerging Infections Programme (EIP),Olivia W.,,,Centers for Disease Control and Prevention,Gov,ZG-yes coordinates surveillance but doesn't do surveillance itself,,Current,1995,C,http://www.cdc.gov/ncezid/dpei/eip/,,,,United States,,"State health departments and their collaborators in local health departments, academic institutions, other federal agencies, public health and clinical laboratories, infection preventionists, and healthcare providers",,,http://www.cdc.gov/ncezid/dpei/eip/,NA,na,,yes,no,no,,nonspecific (emerging infectious diseases),"coorindates ABC surveillance, FoodNet, Influenza activities, Healthcare Associated Infections-Community",
ESPnet,Laura H.,,,"CDC, Harvard Medical School, MDPH","NP, Gov",software system,,Terminated,2009,2011,http://esphealth.org/ESPnet/images/overview.html,,,,United States,,,,software system,http://esphealth.org/ESPnet/images/overview.html,NA,na,,yes,no,no,ILI,"nonspecific (notifiable diseases), diabetes",,
North Carolina Department of Public Health and Human Services (NC DPH),Laura H.,,,North Carolina State Government,Gov,,,Current,NF ,C,http://epi.publichealth.nc.gov/cd/report.html,,,North Carolina,United States,,,,cant find,http://epi.publichealth.nc.gov/cd/report.html,NA,na,,yes,yes,no,,nonspecific (reportable diseases),http://publichealth.nc.gov/,
Indiana National Electronic Disease Surveillance System (I-NEDSS),Laura H.,,,Indiana State Department of Health (ISDH) ,Gov,,1999-current,Current,1999,C,http://wwwn.cdc.gov/nndss/script/nedss.aspx,,,Indiana,United States,,,,,http://wwwn.cdc.gov/nndss/script/nedss.aspx,NA,na,,yes,no,no,,nonspecific (reportable diseases),,
National Healthcare Safety Network,Laura H.,,,"National Center for Infectious Diseases (NCID), Centers for Disease Control and Prevention (CDC)",Gov,,2006-current,Current ,2006,2015,http://www.cdc.gov/nhsn/index.html,,,,United States,,CDC,,,http://www.cdc.gov/nhsn/index.html,NA (communication system),na,,yes,no,no,,nonspecific,"monitors a wide range of diseases, as well as healthcare associated infections, healthcare personnel vaccination, antimicrobial resistance, etc.",
Public Health Laboratory Information System (PHLIS),Laura H.,,,"National Center for Infectious Diseases (NCID), Centers for Disease Control and Prevention (CDC) ",Gov,,1995-2014,Terminated,1988,1994,http://wonder.cdc.gov/wonder/sci_data/misc/type_txt/phlis.asp,,,"Connecticut, Delaware, District of Columbia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York City, Pennsylvania, Rhode Island, Vermont, Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, Puerto Rico, South Carolina, Tennessee, Virginia, Virgin Islands, West Virginia, Illinois, Indiana, Iowa, Michigan, Minnesota, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Arkansas, Kansas, Louisiana, Missouri, Oklahoma, Texas, Arizona, Colorado, Idaho, Montana, Nevada,                     New Mexico, Utah, Wyoming, Alaska, American Samoa, California, Guam,                     Hawaii, Northern Mariana Islands, Oregon, Washington",United States,,,,,http://wonder.cdc.gov/wonder/sci_data/misc/type_txt/phlis.asp,NA (software),na,,yes,yes,nf*,,"malaria, cryptosporidiosis",,
Texas Department of State Health Services National Electronic Disease Surveillance System (DSHS NEDSS),Laura H.,,,Texas Department of State Health Services (DSHS),Gov,,,Current,nf ,C,http://www.dshs.state.tx.us/nedss/default.shtm,,,Texas,United States,,,,,http://www.dshs.state.tx.us/nedss/default.shtm,NA (software),na,NF,yes,no,no,,nonspecific,,
North Carolina Collaborative for Bio-Preparedness (NCB-Prepared),Laura H.,,,"US Department of Homeland Security (DHS), University of North Carolina at Chapel Hill (UNC-CH), North Carolina State University (NCSU), SAS ","Gov, NP",,,Current,2010,C,http://www.ncb-prepared.org/,,,,United States,,,,,http://www.ncb-prepared.org/,NF,na,NF,yes,yes,yes,NF,NF,,
Hawaii Department of Health,Laura H.,,,Hawaii State Government,Gov,,2011-current,Current,2011,C,http://health.hawaii.gov/docd/,,,Hawaii,United States,,,,,http://health.hawaii.gov/docd/,NF,na,,yes,yes,yes,,nonspecific (reportable diseases),,
California Vectorborne Disease Surveillance (CalSurv),Laura H.,,,"University of California (UC), California Department of Public Health (CDPH) ","Gov, NP",,,Current,1996,C,http://www.calsurv.org/,,,California,United States,,,,,http://www.calsurv.org/,NF,na,no,yes,yes,no,,"west nile, malaria, lyme, trench fever, more",,
Zoo Animal Health Network (ZAHN),Laura H.,,,"USDA Animal and Plant Health Inspection Service (APHIS), Lincoln Park Zoo, Association of Zoos and Aquariums (AZA) ",Gov,,2001-2013,Terminated,2001,2013,http://www.zooanimalhealthnetwork.org/,United States,,,United States,,,,,http://www.zooanimalhealthnetwork.org/,NPHR,na,,no,yes,no,,"Anthrax, Avian Influenza, West Nile Virus ",,
National Wildlife Health Center Wildlife Mortality Database (EPIZOO),Faith,,,US Geological Survey (USGS),Gov,,,Current,1975,C,https://books.google.com/books?id=6uku5il1000C&pg=PA129#v=onepage&q&f=false,,,,United States,,partner orgs. info on epi of animals,,,https://books.google.com/books?id=6uku5il1000C&pg=PA129#v=onepage&q&f=false,NPHR,na,,no,yes,no,mortality,nonspecific,,
Pest Information Platform for Extension and Education (PIPE),Laura H.,,,United States Department of Agriculture (USDA),Gov,,2007-current,Current,2007,C,http://sbr.ipmpipe.org/cgi-bin/sbr/public.cgi,,,,United States,,,,,http://sbr.ipmpipe.org/cgi-bin/sbr/public.cgi,"NPHR, field reporting",na,NF,no,yes,yes,,soybean rust and soybean aphid ,,
Import Alerts Tracking System,Faith,,,USDA Food Safety and Inspection Service (FSIS),Gov,,2008-current,Current ,2008,C ,http://www.fsis.usda.gov/wps/portal/fsis/topics/food-defense-defense-and-emergency-response,,,,United States,,,,,http://www.fsis.usda.gov/wps/portal/fsis/topics/food-defense-defense-and-emergency-response,NPHRR,na,no,no,yes,yes,,NA,tracks illegally smuggled goods; animal and plant products (foods),
NBII Wildlife Disease Information Node,Olivia W.,,,NBII,Gov,,NBII taken offline in 2012,Terminated,2002,2012,http://wildlifedisease.nbii.gov/,,,,United States,,,,,http://www.wdin.org/documents/2010%20wdin%20products%20nbii%20and%20noaa.pdf,other surveillance systems,na,no,no,yes,no,,nonspecific (animal diseases),,
Highly Pathogenic Avian Influenza Early Detection Data System (HEDDS),Faith,,,U.S. Geological Survey (USGS),Gov,,2005-2010,Terminated ,2005,2010,http://www.nwhc.usgs.gov/ai/abouthedds.jsp,,,,United States,,,,,http://www.nwhc.usgs.gov/ai/abouthedds.jsp,"other surveillance systems, PHOR, lab",na,no,no,yes,no,,Avian Influeza ,,
National Biosurveillance Integration Center (NBIC),Laura H.,,,USA Department of Homeland Security,Gov,,2007-current,Current,2007,C,http://www.dhs.gov/national-biosurveillance-integration-center,,,,United States,,,,,http://www.dhs.gov/national-biosurveillance-integration-center,"other surveillance systems, PHOR, NPHR",na,yes,yes,yes,yes,,nonspecific,also environment,
National Outbreak Reporting System (NORS),Laura H.,,,"Environmental Protection Agency (EPA), Council of State and Territorial Epidemiologists (CSTE), Centers for Disease Control and Prevention (CDC)",Gov,,2009-current,Current,2009,C,http://www.cdc.gov/healthywater/statistics/wbdoss/nors/,United States,,,United States,,,,,http://www.cdc.gov/healthywater/statistics/wbdoss/nors/,PHOR,na,,yes,yes,no,,"Anthrax, Botulism, Brucellosis, Cholera, Giardiasis, Hepatitis, Listeriosis, Salmonellosis, E. Coli, Shiga Toxin-Producing, Shigellosis, Trichinosis, Typhoid, Cryptosporidiosis, Cyclosporiasis, Hemolytic Uremic Syndrome",,
National Electronic Disease Surveillance System (NEDSS) & NEDSS Base System (NBS),Olivia W.,not finished because justificaiton for removal,Robyn,Centers for Disease Control and Prevention (CDC),Gov,information exchange program,,Current,2001,C,http://wwwn.cdc.gov/nndss/nedss.html,,"New York City, Washington DC",46 states,United States,,healthcare system,,information exchange program,http://www.cdc.gov/phin/library/phin_fact_sheets/111759_NEDSS.pdf,PHOR,na,,yes,yes,no,,nonspecific,http://www.cdc.gov/phin/library/phin_fact_sheets/111759_NEDSS.pdf,
"Washington State Department of Health, Communicable Disease Surveillance Data",Laura H.,,,Washington State Department of Health,Gov,,,Current,2000,C,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData,,,Washington State,United States,,,,,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData,PHOR,na,no,yes,yes,no,,nonspecific,,
Bio-surveillance Common Operating Picture (BCOP),Laura H.,,,"US Department of Homeland Security (DHS), FAZD Center ",Gov,,,Current,2009,C,http://www.emergencymgmt.com/health/Biosurveillance-Common-Operating-Picture.html,,,,United States,,,,,http://www.emergencymgmt.com/health/Biosurveillance-Common-Operating-Picture.html,"PHOR, NPHR, clinical, non-clinical",na,NF,yes,yes,yes,,nonspecific,,
Disease Maps,Olivia W.,,,United States Geological Survey (USGS),Gov,,2000-current,Current,2000,C,http://diseasemaps.usgs.gov/faqs.html?wnv,"All US States: North Carolina and Virginia at state level, all others at county level",,,United States,,"State and local health departmets, CDC",confirmed cases,,http://diseasemaps.usgs.gov/faqs.html?wnv,"PHOR, other surveillance systems",na,,yes,yes,no,,"West Nile Virus, St. Louis Encephalitis, Eastern Equine Encephalitis, Western Equine Encephalitis, La Cross Encephalitis, Powassan Virus, Dengue Virus, Chikungunya",,
National Animal Health Surveillance System (NAHSS),Olivia W.,,,USDA APHIS,Gov,,,Current,2001,C,,,,,United States,,Many federal and state government agencies,,,http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth?1dmy&urile=wcm%3Apath%3A%2Faphis_content_library%2Fsa_our_focus%2Fsa_animal_health%2Fsa_monitoring_and_surveillance%2Fsa_nahss%2Fct_national_animal_health_surveillance_system,"PHOR, other surveillance systems, lab, NPHR",na,,no,yes,no,,nonspecific,,
locust watch,Laura H.,,,Food and Agriculture Organization of the United Nations ,Gov ,,2009-current,Current,2009,C,http://www.fao.org/ag/locusts/en/info/info/index.html,,,,United Nations,,,,,http://www.fao.org/ag/locusts/en/info/info/index.html,field reporting,na,no,no,yes,no,,desert locust swarm,,
Emergency Prevention System for Food Safety (EMPRES),Laura H.,,,Food and Agriculture Organization of the United Nations (FAO),Gov,,1994-current,Current,1994,C,http://www.fao.org/food-chain-crisis/en/,,,,United Nations,,,,,http://www.fao.org/food-chain-crisis/en/,"NPHR, clinical?*",na,no,yes,yes,yes,,foodborne illness,,
Animal Health and Veterinary Laboratories Agency (AHVLA),Laura H.,,,"Department for Environment, Food, and Rural Affairs (DEFRA) ",Gov,,2011-current,Current,2011,C,http://www.defra.gov.uk/ahvla-en/about-us/,,,,United Kingdom,,,,,#ERROR!,"clinical, lab, field reporting",na,,no,yes,no,,nonspecific (animal diseases),,
